,Unnamed: 0,playerID,nameFirst,nameLast,bats,throws,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,Years_Played,HoF,votedBy,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,playerIDmstr,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,1B,SLG,OBS,OPS
6999,7520.0,haynejo01,Joe,Haynes,R,R,1939-04-24,1952.0,380.0,521.0,48.0,111.0,16.0,1.0,1.0,39.0,2.0,21.0,81.0,,1.0,14.0,,14.0,,,,1.0,,,,,haynejo01,380,379,0,0,0,0,0,0,0,0,0,0.0,0,57,123,200,0,0,0,0,93.0,0.2533589251439539,,
7004,8166.0,hoppjo01,Johnny,Hopp,L,L,1939-09-18,1952.0,1393.0,4260.0,698.0,1262.0,216.0,74.0,46.0,458.0,128.0,464.0,378.0,,19.0,61.0,,14.0,,,,1.0,,,,,hoppjo01,1395,0,0,477,0,0,0,142,467,114,722,0.0,0,222,449,724,0,0,0,0,926.0,0.4140845070422535,,
7006,8441.0,hutchfr01,Fred,Hutchinson,L,R,1939-05-02,1953.0,354.0,650.0,71.0,171.0,23.0,3.0,4.0,83.0,6.0,66.0,30.0,,3.0,15.0,,11.0,,,,1.0,,,,,hutchfr01,354,242,0,1,0,0,0,0,0,0,0,0.0,0,32,0,322,0,0,0,0,141.0,0.3261538461538461,,
7010,9155.0,kellech01,Charlie,Keller,L,R,1939-04-22,1952.0,1170.0,3790.0,725.0,1085.0,166.0,72.0,189.0,760.0,45.0,784.0,499.0,,10.0,20.0,,13.0,,,,5.0,,,,,kellech01,1170,0,0,0,0,0,0,874,0,144,1018,0.0,0,389,337,444,0,0,0,0,658.0,0.5176781002638522,,
7011,9238.0,kennebo01,Bob,Kennedy,R,R,1939-09-14,1957.0,1483.0,4624.0,514.0,1176.0,196.0,41.0,63.0,514.0,45.0,364.0,443.0,,6.0,65.0,,16.0,,,,,,,,,kennebo01,1485,0,0,10,2,540,0,205,36,596,823,0.0,0,233,113,1139,0,0,0,0,876.0,0.35532006920415227,,
7014,9627.0,krameja01,Jack,Kramer,R,R,1939-04-25,1951.0,322.0,501.0,43.0,72.0,12.0,0.0,5.0,39.0,0.0,76.0,162.0,,1.0,40.0,,12.0,,,,3.0,,,,,krameja01,322,322,0,0,0,0,0,0,0,0,0,0.0,0,85,65,172,0,0,0,0,55.0,0.19760479041916168,,
7015,9781.0,lakeed01,Eddie,Lake,R,R,1939-09-26,1950.0,835.0,2595.0,442.0,599.0,105.0,9.0,39.0,193.0,52.0,546.0,312.0,,8.0,50.0,,11.0,,,,,,,,,lakeed01,836,6,0,0,89,52,610,0,0,0,0,0.0,0,80,265,491,0,0,0,0,446.0,0.3233140655105973,,
7022,10791.0,majesha01,Hank,Majeski,R,R,1939-05-17,1955.0,1069.0,3421.0,404.0,956.0,181.0,27.0,57.0,501.0,10.0,299.0,260.0,,27.0,42.0,,13.0,,,,,,,,,majesha01,1069,0,0,0,48,861,12,1,0,0,1,0.0,0,128,0,941,0,0,0,0,691.0,0.3981292019877229,,
7023,11090.0,masiph01,Phil,Masi,R,R,1939-04-23,1952.0,1229.0,3468.0,420.0,917.0,164.0,31.0,47.0,417.0,45.0,410.0,311.0,,10.0,58.0,,14.0,,,,4.0,,,,,masiph01,1229,0,1101,22,0,2,0,1,0,4,4,0.0,0,196,340,693,0,0,0,0,675.0,0.370242214532872,,
7024,11110.0,mastewa02,Walt,Masterson,R,R,1939-05-08,1956.0,402.0,486.0,37.0,68.0,9.0,2.0,0.0,26.0,1.0,34.0,221.0,,0.0,34.0,,14.0,,,,2.0,,,,,mastewa02,402,399,0,0,0,0,0,0,0,0,0,0.0,0,89,30,283,0,0,0,0,57.0,0.16666666666666666,,
7026,11371.0,mccosba01,Barney,McCosky,L,R,1939-04-18,1953.0,1170.0,4172.0,664.0,1301.0,214.0,71.0,24.0,397.0,58.0,497.0,261.0,,10.0,81.0,,11.0,,,,,,,,,mccosba01,1170,0,0,0,0,0,0,489,523,26,1036,0.0,0,417,154,599,0,0,0,0,992.0,0.41442953020134227,,
7032,12816.0,newhoha01,Hal,Newhouser,L,L,1939-09-29,1955.0,492.0,999.0,71.0,201.0,22.0,2.0,2.0,81.0,3.0,89.0,150.0,,0.0,72.0,,17.0,1.0,Veterans,2.0,7.0,,,,,newhoha01,492,488,0,0,0,0,0,0,0,0,0,0.0,0,62,163,267,0,0,0,0,175.0,0.23323323323323322,,
7043,14381.0,raffeke01,Ken,Raffensberger,R,L,1939-04-25,1954.0,397.0,688.0,38.0,97.0,16.0,0.0,4.0,31.0,0.0,20.0,280.0,,1.0,70.0,,15.0,,,,1.0,,,,,raffeke01,397,396,0,0,0,0,0,0,0,0,0,0.0,0,54,44,299,0,0,0,0,77.0,0.1816860465116279,,
7047,14817.0,riddlel01,Elmer,Riddle,R,R,1939-10-01,1949.0,191.0,339.0,30.0,69.0,10.0,0.0,1.0,28.0,1.0,19.0,69.0,,0.0,24.0,,10.0,,,,1.0,,,,,riddlel01,191,190,0,0,0,0,0,0,0,0,0,0.0,0,49,81,61,0,0,0,0,58.0,0.24188790560471976,,
7048,15211.0,rosarbu01,Buddy,Rosar,R,R,1939-04-29,1951.0,988.0,3198.0,335.0,836.0,147.0,15.0,18.0,367.0,17.0,315.0,161.0,,10.0,48.0,,13.0,,,,5.0,,,,,rosarbu01,988,0,933,0,0,0,0,0,0,0,0,0.0,0,183,375,430,0,0,0,0,656.0,0.33364602876798,,
7061,16331.0,sistisi01,Sibby,Sisti,R,R,1939-07-21,1954.0,1016.0,2999.0,401.0,732.0,121.0,19.0,27.0,260.0,30.0,283.0,440.0,,16.0,70.0,,13.0,,,,,,,,,sistisi01,1016,0,0,2,361,290,211,29,14,33,74,0.0,0,326,129,561,0,0,0,0,565.0,0.324108036012004,,
7069,17902.0,troutdi01,Dizzy,Trout,R,R,1939-04-25,1957.0,535.0,961.0,99.0,205.0,28.0,7.0,20.0,110.0,7.0,59.0,226.0,,1.0,26.0,,15.0,,,,2.0,,,,,troutdi01,535,521,0,0,0,0,0,0,0,0,0,0.0,0,108,174,253,0,0,0,0,150.0,0.3194588969823101,,
7072,18235.0,vernomi01,Mickey,Vernon,L,L,1939-07-08,1960.0,2409.0,8731.0,1196.0,2495.0,490.0,120.0,172.0,1311.0,137.0,955.0,869.0,,49.0,80.0,,20.0,,,,7.0,,,,,vernomi01,2409,0,0,2237,0,0,0,2,0,2,4,0.0,0,219,296,1894,0,0,0,0,1713.0,0.42847325621349214,,
7076,19053.0,willite01,Ted,Williams,L,R,1939-04-20,1960.0,2292.0,7706.0,1798.0,2654.0,525.0,71.0,521.0,1839.0,24.0,2021.0,709.0,,39.0,5.0,,19.0,1.0,BBWAA,2.0,19.0,,,,,willite01,2292,1,0,0,0,0,0,1982,0,169,2149,0.0,0,436,150,1706,0,0,0,0,1537.0,0.6337918505060991,,
7077,19401.0,wynnea01,Early,Wynn,B,R,1939-09-13,1963.0,796.0,1704.0,136.0,365.0,59.0,5.0,17.0,173.0,1.0,141.0,330.0,,2.0,52.0,,23.0,1.0,BBWAA,,8.0,,,,,wynnea01,796,691,0,0,0,0,0,0,0,0,0,0.0,0,8,111,657,20,0,0,0,284.0,0.2846244131455399,,
7080,1614.0,bonhati01,Tiny,Bonham,R,R,1940-08-05,1949.0,231.0,522.0,34.0,84.0,9.0,0.0,0.0,26.0,1.0,31.0,89.0,,2.0,37.0,,10.0,,,,2.0,,,,,bonhati01,231,231,0,0,0,0,0,0,0,0,0,0.0,0,35,105,91,0,0,0,0,75.0,0.1781609195402299,,
7082,1890.0,brechha01,Harry,Brecheen,L,L,1940-04-22,1953.0,321.0,673.0,48.0,129.0,13.0,5.0,2.0,44.0,0.0,45.0,121.0,,4.0,24.0,,12.0,,,,2.0,,,,,brechha01,321,318,0,0,0,0,0,0,0,0,0,0.0,0,3,84,234,0,0,0,0,109.0,0.23476968796433878,,
7090,3547.0,coopewa01,Walker,Cooper,R,R,1940-09-25,1957.0,1473.0,4702.0,573.0,1341.0,240.0,40.0,173.0,812.0,18.0,309.0,357.0,,22.0,44.0,,18.0,,,,8.0,,,,,coopewa01,1473,0,1223,0,0,0,0,0,0,0,0,0.0,0,74,363,1036,0,0,0,0,888.0,0.4636324968098681,,
7094,4528.0,dimagdo01,Dom,DiMaggio,R,R,1940-04-16,1953.0,1399.0,5640.0,1046.0,1680.0,308.0,57.0,87.0,618.0,100.0,750.0,571.0,,31.0,57.0,,11.0,,,,7.0,,,,,dimagdo01,1399,0,0,0,0,0,0,12,1337,26,1372,0.0,0,252,151,996,0,0,0,0,1228.0,0.41897163120567377,,
7105,6935.0,groveor01,Orval,Grove,R,R,1940-05-28,1949.0,207.0,373.0,23.0,48.0,4.0,2.0,1.0,19.0,0.0,31.0,128.0,,3.0,21.0,,10.0,,,,1.0,,,,,groveor01,207,207,0,0,0,0,0,0,0,0,0,0.0,0,5,111,91,0,0,0,0,41.0,0.1581769436997319,,
7115,8317.0,hudsosi01,Sid,Hudson,R,R,1940-04-18,1954.0,383.0,746.0,62.0,164.0,17.0,4.0,0.0,75.0,1.0,25.0,58.0,,1.0,26.0,,12.0,,,,2.0,,,,,hudsosi01,383,380,0,0,0,0,0,0,0,0,0,0.0,0,71,36,276,0,0,0,0,143.0,0.25335120643431636,,
7124,9558.0,kollodo01,Don,Kolloway,R,R,1940-09-16,1953.0,1079.0,3993.0,466.0,1081.0,180.0,30.0,29.0,393.0,76.0,189.0,251.0,,10.0,52.0,,12.0,,,,,,,,,kollodo01,1079,0,0,315,617,67,0,0,1,0,1,0.0,0,81,232,766,0,0,0,0,842.0,0.3526170798898072,,
7127,10319.0,litwhda01,Danny,Litwhiler,R,R,1940-04-25,1951.0,1057.0,3494.0,428.0,982.0,162.0,32.0,107.0,451.0,11.0,299.0,377.0,,27.0,38.0,,11.0,,,,1.0,,,,,litwhda01,1057,0,0,0,0,20,0,698,3,219,914,0.0,0,187,407,463,0,0,0,0,681.0,0.43760732684602177,,
7133,10923.0,marioma01,Marty,Marion,R,R,1940-04-16,1953.0,1572.0,5506.0,602.0,1448.0,272.0,37.0,36.0,624.0,35.0,470.0,537.0,,14.0,151.0,,13.0,,,1.0,8.0,,,,,marioma01,1572,0,0,0,0,2,1555,0,0,0,0,0.0,0,280,543,749,0,0,0,0,1103.0,0.3454413367235743,,
7137,11368.0,mccormi02,Mike,McCormick,R,R,1940-04-16,1951.0,748.0,2325.0,302.0,640.0,100.0,29.0,14.0,215.0,16.0,188.0,173.0,,3.0,72.0,,10.0,,,,,,,,,mccormi02,748,0,0,0,0,0,0,304,316,70,654,0.0,0,220,44,484,0,0,0,0,497.0,0.36129032258064514,,
7138,11389.0,mcculcl01,Clyde,McCullough,R,R,1940-04-28,1956.0,1098.0,3121.0,308.0,785.0,121.0,28.0,52.0,339.0,27.0,265.0,398.0,,20.0,50.0,,15.0,,,,2.0,,,,,mcculcl01,1098,0,987,1,0,3,0,0,0,0,0,0.0,0,134,196,768,0,0,0,0,584.0,0.35821851970522267,,
7142,12512.0,mullipa01,Pat,Mullin,L,R,1940-09-18,1953.0,864.0,2493.0,381.0,676.0,106.0,43.0,87.0,385.0,20.0,330.0,312.0,,6.0,20.0,,10.0,,,,2.0,,,,,mullipa01,864,0,0,0,0,0,0,226,93,333,638,0.0,0,58,0,806,0,0,0,0,440.0,0.452868030485359,,
7150,14588.0,reesepe01,Pee Wee,Reese,R,R,1940-04-23,1958.0,2166.0,8058.0,1338.0,2170.0,330.0,80.0,126.0,885.0,232.0,1210.0,890.0,,26.0,157.0,,16.0,1.0,Veterans,,10.0,,,,,reesepe01,2166,0,0,0,0,115,2013,0,0,0,0,0.0,0,236,151,1779,0,0,0,0,1634.0,0.37701662943658476,,
7151,14637.0,reisepe01,Pete,Reiser,L,R,1940-07-23,1952.0,861.0,2662.0,473.0,786.0,155.0,41.0,58.0,368.0,87.0,343.0,369.0,,20.0,28.0,,10.0,,,,3.0,,,,,reisepe01,861,0,0,0,0,59,5,204,419,27,632,0.0,0,195,125,541,0,0,0,0,532.0,0.4496619083395943,,
7152,14970.0,robersh01,Sherry,Robertson,L,R,1940-09-08,1952.0,597.0,1507.0,200.0,346.0,55.0,18.0,26.0,151.0,32.0,202.0,238.0,,5.0,14.0,,10.0,,,,,,,,,robersh01,597,0,0,0,108,98,23,58,1,104,163,0.0,0,11,59,527,0,0,0,0,247.0,0.3417385534173855,,
7166,17323.0,swiftbo01,Bob,Swift,R,R,1940-04-16,1953.0,1001.0,2750.0,212.0,635.0,86.0,3.0,14.0,238.0,10.0,324.0,233.0,,3.0,59.0,,14.0,,,,,,,,,swiftbo01,1001,0,980,0,0,0,0,0,0,0,0,0.0,0,193,341,467,0,0,0,0,532.0,0.2796363636363636,,
7171,18103.0,valoel01,Elmer,Valo,L,R,1940-09-22,1961.0,1806.0,5029.0,768.0,1420.0,228.0,73.0,58.0,601.0,110.0,942.0,284.0,,38.0,65.0,,20.0,,,,,,,,,valoel01,1806,0,0,0,0,0,0,349,37,957,1329,0.0,0,21,210,1575,0,0,0,0,1061.0,0.39133028435076556,,
7173,18399.0,walkeha01,Harry,Walker,L,R,1940-09-25,1955.0,807.0,2651.0,385.0,786.0,126.0,37.0,10.0,214.0,42.0,245.0,175.0,,7.0,78.0,,11.0,,,,2.0,,,,,walkeha01,807,0,0,20,3,1,0,108,531,62,688,0.0,0,14,222,571,0,0,0,0,613.0,0.3832516031686156,,
7197,3035.0,chipmbo01,Bob,Chipman,L,L,1941-09-28,1952.0,294.0,250.0,18.0,32.0,1.0,0.0,0.0,10.0,0.0,15.0,82.0,,0.0,13.0,,12.0,,,,,,,,,chipmbo01,294,293,0,0,0,0,0,0,0,0,0,0.0,0,1,65,228,0,0,0,0,31.0,0.132,,
7200,3682.0,coxbi02,Billy,Cox,R,R,1941-09-20,1955.0,1058.0,3712.0,470.0,974.0,174.0,32.0,66.0,351.0,42.0,298.0,218.0,,7.0,62.0,,11.0,,,,,,,,,coxbi02,1058,0,0,0,53,699,299,0,0,0,0,0.0,0,10,0,1048,0,0,0,0,702.0,0.3798491379310345,,
7206,5004.0,edwarha01,Hank,Edwards,L,L,1941-09-10,1953.0,735.0,2191.0,285.0,613.0,116.0,41.0,51.0,276.0,9.0,208.0,264.0,,2.0,8.0,,11.0,,,,,,,,,edwarha01,735,0,0,0,0,0,0,134,92,342,560,0.0,0,16,105,614,0,0,0,0,405.0,0.4399817434961205,,
7209,5264.0,eversho01,Hoot,Evers,R,R,1941-09-16,1956.0,1142.0,3801.0,556.0,1055.0,187.0,41.0,98.0,565.0,45.0,415.0,420.0,,27.0,65.0,,12.0,,,,2.0,,,,,eversho01,1142,0,0,0,0,0,0,514,477,99,1052,0.0,0,1,0,1141,0,0,0,0,729.0,0.4256774533017627,,
7214,5769.0,fowledi01,Dick,Fowler,R,R,1941-09-13,1952.0,226.0,472.0,22.0,88.0,10.0,1.0,1.0,32.0,0.0,15.0,69.0,,1.0,14.0,,10.0,,,,,,,,,fowledi01,226,221,0,0,0,0,0,0,0,0,0,0.0,0,4,43,179,0,0,0,0,76.0,0.21822033898305085,,
7219,6642.0,gordosi01,Sid,Gordon,R,R,1941-09-11,1955.0,1475.0,4992.0,735.0,1415.0,220.0,43.0,202.0,805.0,19.0,731.0,356.0,,22.0,54.0,,13.0,,,,2.0,,,,,gordosi01,1475,0,0,42,3,453,0,809,6,108,919,0.0,0,9,137,1329,0,0,0,0,950.0,0.4661458333333333,,
7222,6911.0,gromest01,Steve,Gromek,B,R,1941-08-18,1957.0,470.0,630.0,58.0,124.0,9.0,2.0,0.0,40.0,2.0,71.0,146.0,,1.0,40.0,,17.0,,,,1.0,,,,,gromest01,470,447,0,0,0,0,0,0,0,0,0,0.0,0,9,98,363,0,0,0,0,113.0,0.21746031746031746,,
7227,7581.0,heganji01,Jim,Hegan,R,R,1941-09-09,1960.0,1666.0,4772.0,550.0,1087.0,187.0,46.0,92.0,525.0,15.0,456.0,742.0,,4.0,72.0,,17.0,,,,5.0,,,,,heganji01,1666,0,1628,0,0,0,0,0,0,0,0,0.0,0,16,68,1582,0,0,0,0,762.0,0.3440905280804694,,
